source,target,release_date,populairty
Robert Schumann,Vladimir Horowitz,1928,0
Frédéric Chopin,Vladimir Horowitz,1928,1
Felix Mendelssohn,Vladimir Horowitz,1928,0
Franz Liszt,Vladimir Horowitz,1928,0
Sergei Rachmaninoff,Vladimir Horowitz,1928,0
Samuel Barber,Vladimir Horowitz,1928,0
Ludwig van Beethoven,Staatskapelle Berlin,1928,0
Ludwig van Beethoven,Richard Strauss,1928,0
Staatskapelle Berlin,Richard Strauss,1928,0
Alexander Scriabin,Vladimir Horowitz,1928,0
Moritz Moszkowski,Vladimir Horowitz,1928,0
Muzio Clementi,Vladimir Horowitz,1928,0
Dmitry Kabalevsky,Vladimir Horowitz,1928,0
Manuel Ponce,Andrés Segovia,1930,2
Ruggero Leoncavallo,Karl Böhm,1935,0
Ruggero Leoncavallo,Staatskapelle Dresden,1935,0
Karl Böhm,Staatskapelle Dresden,1935,0
Johannes Brahms,Karl Böhm,1935,0
Johannes Brahms,Staatskapelle Dresden,1935,0
Samuel Barber,Marilyn Horne,1935,0
Anton Bruckner,Karl Böhm,1935,0
Anton Bruckner,Staatskapelle Dresden,1935,0
Samuel Barber,Leontyne Price,1935,0
Samuel Barber,New Philharmonia Orchestra,1935,0
Leontyne Price,New Philharmonia Orchestra,1935,0
Max Reger,Karl Böhm,1935,0
Max Reger,Staatskapelle Dresden,1935,0
Jean Sibelius,Jascha Heifetz,1935,0
Jean Sibelius,London Philharmonic Orchestra,1935,0
Jascha Heifetz,London Philharmonic Orchestra,1935,0
Mia Braia,Petre Alexandru,1935,0
Richard Wagner,Karl Böhm,1935,0
Richard Wagner,Staatskapelle Dresden,1935,0
Wolfgang Amadeus Mozart,Karl Böhm,1935,0
Wolfgang Amadeus Mozart,Staatskapelle Dresden,1935,0
Ludwig van Beethoven,New York Philharmonic,1936,0
Ludwig van Beethoven,Arturo Toscanini,1936,0
New York Philharmonic,Arturo Toscanini,1936,0
Ludwig van Beethoven,Leonard Bernstein,1936,0
New York Philharmonic,Leonard Bernstein,1936,0
Ludwig van Beethoven,Bruno Walter,1936,0
Ludwig van Beethoven,Wiener Philharmoniker,1936,0
Ludwig van Beethoven,Herbert von Karajan,1936,0
Wiener Philharmoniker,Herbert von Karajan,1936,0
Ludwig van Beethoven,Concertgebouworkest,1936,0
Ludwig van Beethoven,Elisabeth Höngen,1936,0
Ludwig van Beethoven,Berliner Philharmoniker,1936,0
Elisabeth Höngen,Berliner Philharmoniker,1936,0
Ludwig van Beethoven,Philharmonia Orchestra,1936,0
Philharmonia Orchestra,Herbert von Karajan,1936,0
Ludwig van Beethoven,Chicago Symphony Orchestra,1936,0
Ludwig van Beethoven,Fritz Reiner,1936,0
Chicago Symphony Orchestra,Fritz Reiner,1936,0
Ludwig van Beethoven,Elisabeth Schwarzkopf,1936,0
Ludwig van Beethoven,Hans Hopf,1936,0
Ludwig van Beethoven,Otto Edelmann,1936,0
Ludwig van Beethoven,Bayreuth Festival Orchestra,1936,0
Elisabeth Schwarzkopf,Elisabeth Höngen,1936,0
Elisabeth Schwarzkopf,Hans Hopf,1936,0
Elisabeth Schwarzkopf,Otto Edelmann,1936,0
Elisabeth Schwarzkopf,Bayreuth Festival Orchestra,1936,0
Elisabeth Höngen,Hans Hopf,1936,0
Elisabeth Höngen,Otto Edelmann,1936,0
Elisabeth Höngen,Bayreuth Festival Orchestra,1936,0
Hans Hopf,Otto Edelmann,1936,0
Hans Hopf,Bayreuth Festival Orchestra,1936,0
Otto Edelmann,Bayreuth Festival Orchestra,1936,0
Ludwig van Beethoven,London Symphony Orchestra,1936,0
