Id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,count,genres,filtered_genre,gender,race,api,black,hispanic,white,populairty
$NOT,0.547,0.750125,152929.5,0.51975,0.043137138,0.213975,-8.8785,0.276725,114.229125,0.3195,6,1,8,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",Hip-hop,unknown,white,0.057211556,0.02584626,0.00949602,0.90744615,64.625
$uicideBoy$,0.128122623,0.765245902,147549.4426,0.641704918,0.038454471,0.201195082,-6.626918033,0.155917213,119.8043607,0.296095902,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']",Hip-hop,unknown,white,0.002377309,0.11294163,0.019381734,0.86529934,61.64754098
((( O ))),0.847,0.41,311837,0.169,0.00327,0.117,-11.422,0.0485,89.494,0.208,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395,66
(G)I-DLE,0.029966667,0.718,194278,0.764333333,9.40E-07,0.163333333,-3.797333333,0.0552,129.992,0.449666667,4,0,3,"['k-pop', 'k-pop girl group']",Pop,unknown,white,0.0339335,0.082677655,0.043558497,0.8398304,74.66666667
*NSYNC,0.156757538,0.642051282,237077.5128,0.719320513,0.003624652,0.217423077,-6.030692308,0.067155128,114.6852179,0.615128205,0,1,78,"['boy band', 'dance pop', 'europop', 'pop']",EDM,unknown,white,0.025099272,0.028439017,0.022024667,0.92443705,45.79487179
-,0.466,0.446,316307,0.546,1.54E-05,0.193,-7.022,0.045,125.961,0.376,10,0,2,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']",Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395,55
03 Greedo,0.06932,0.7246,220595.2,0.6938,8.00E-07,0.16506,-5.021,0.05074,93.9078,0.4434,1,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",Hip-hop,unknown,white,0.02392903,0.048368473,0.07958654,0.8481159,59.2
100 gecs,0.2515,0.6695,120538,0.566,0,0.377,-7.246,0.138,91.691,0.769,6,1,2,"['art pop', 'escape room', 'hyperpop']",Pop,unknown,white,0.008042659,0.001755534,0.007844578,0.98235726,63.5
112,0.158393818,0.666072727,274580.8545,0.520436364,0.000143672,0.143212727,-8.024036364,0.097623636,116.8437636,0.5328,0,1,55,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395,48.32727273
1788-L,0.0739,0.522,172344,0.539,0,0.0664,-5.741,0.0418,95.97,0.139,1,0,1,"['brostep', 'edm', 'electro house', 'zapstep']",EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395,46
2 Chainz,0.11121449,0.771091837,253278.4082,0.642418367,0.000620847,0.203555102,-6.024755102,0.220565306,125.026398,0.450257143,1,1,98,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip-hop,unknown,white,0.00439918,0.037333127,0.03167432,0.92659336,57.94897959
