name,filtered_genre,gender
"""Weird Al"" Yankovic",Pop,unknown
$NOT,Hip-hop,unknown
$uicideBoy$,Hip-hop,unknown
'Til Tuesday,EDM,unknown
((( O ))),Pop,unknown
(G)I-DLE,Pop,unknown
(Hed) P.E.,Metal,unknown
*NSYNC,EDM,unknown
-,Pop,unknown
...And You Will Know Us by the Trail of Dead,EDM,androgynous
03 Greedo,Hip-hop,unknown
070 Shake,Indie,unknown
10 Ft. Ganja Plant,Rock,unknown
10 Years,Metal,unknown
"10,000 Maniacs",EDM,unknown
100 gecs,Pop,unknown
10cc,EDM,unknown
5-Nov,Rap,unknown
112,EDM,unknown
11:11,EDM,unknown
12 Stones,Metal,unknown
1788-L,EDM,unknown
1910 Fruitgum Company,Pop,unknown
1986 Omega Tribe,Pop,unknown
1way Frank,Rap,male
2 Brothers On The 4th Floor,EDM,androgynous
2 Chainz,Hip-hop,unknown
2 LIVE CREW,Hip-hop,unknown
2 Pistols,Hip-hop,unknown
2 Unlimited,EDM,unknown
20 Fingers,EDM,unknown
20/20,Hip-hop,unknown
21 Savage,Hip-hop,unknown
22Gz,Rap,unknown
24hrs,Hip-hop,unknown
24kGoldn,Pop,unknown
27CLUB,Rap,unknown
2Baba,EDM,unknown
2CELLOS,Pop,unknown
2NE1,EDM,unknown
2Pac,Hip-hop,unknown
2nd Chapter Of Acts,Rock,unknown
2nd II None,Rap,unknown
2nd South Carolina String Band,Country,female
3 Doors Down,Pop,unknown
3 Inches Of Blood,Metal,unknown
311,Pop,unknown
36 Crazyfists,Metal,unknown
38 Special,Country,unknown
3BallMTY,Indie,unknown
3LAU,EDM,unknown
3LW,Pop,unknown
3OH!3,EDM,unknown
3T,Metal,unknown
3X Krazy,Rap,unknown
3rd Bass,Hip-hop,unknown
3rd Strike,Metal,unknown
4 Non Blondes,Pop,female
4 P.M.,Rock,unknown
42 Dugg,Hip-hop,unknown
420 Unlovable,Rap,unknown
45 Grave,Rock,unknown
4B,EDM,unknown
4Him,Rock,unknown
4Minute,Pop,unknown
5 Seconds of Summer,EDM,androgynous
50 Cent,Hip-hop,unknown
504 Boyz,Hip-hop,unknown
54-40,Indie,unknown
5th Ward Boyz,Rap,male
6 Dogs,Hip-hop,unknown
645AR,Rap,unknown
6LACK,Hip-hop,unknown
6cyclemind,Rock,unknown
6ix9ine,Rap,unknown
702,Pop,unknown
7eventh Time Down,Rock,unknown
808 State,EDM,unknown
88-Keys,Hip-hop,unknown
88GLAM,Hip-hop,unknown
88rising,Hip-hop,unknown
8Ball,Hip-hop,unknown
8Ball & MJG,Hip-hop,unknown
93FEETOFSMOKE,Hip-hop,unknown
98º,EDM,unknown
999,Rock,unknown
9lokknine,Rap,unknown
9tails,Rap,unknown
9th Wonder,Hip-hop,unknown
? & The Mysterians,Pop,female
?uestlove,Rap,unknown
A,EDM,unknown
A Boogie Wit da Hoodie,Pop,male
A Certain Ratio,EDM,unknown
A Change of Pace,Pop,androgynous
A Day To Remember,Pop,androgynous
A Fine Frenzy,Pop,female
A Flock Of Seagulls,EDM,unknown
A Great Big World,Indie,unknown
A Heart Beats,R&B,unknown
A Perfect Circle,Metal,unknown
A R I Z O N A,EDM,unknown
A Rocket To The Moon,Pop,androgynous
A Skylit Drive,Metal,unknown
A Static Lullaby,Metal,unknown
A Thousand Horses,Country,unknown
A Touch Of Class,EDM,unknown
A Tribe Called Quest,Hip-hop,unknown
A Tribe Called Red,Hip-hop,androgynous
A Winged Victory for the Sullen,Rock,unknown
A$AP ANT,Hip-hop,unknown
A$AP Ferg,Hip-hop,unknown
A$AP Mob,Hip-hop,unknown
A$AP NAST,Hip-hop,unknown
A$AP Rocky,Hip-hop,male
A$AP Twelvyy,Hip-hop,unknown
A*Teens,EDM,unknown
A-Mei Chang,Pop,androgynous
A. M. Rajah,Pop,male
A. R. Qureshi,Classical,unknown
A.CHAL,Rap,unknown
A.R. Kane,Pop,male
A.R. Rahman,Pop,male
ABBA,Pop,unknown
ABN,Rap,unknown
ABSRDST,Pop,unknown
AC/DC,Rock,unknown
ACOT,Rap,unknown
AFI,Pop,unknown
AJ Mitchell,Pop,male
AJ Rafael,Indie,male
AJ Tracey,Hip-hop,female
AJJ,Indie,unknown
AJR,Pop,unknown
AL-X The Great,Rap,female
ALI,Pop,unknown
ALLBLACK,Rap,unknown
AOA,Pop,unknown
APB,Hip-hop,unknown
APO Hiking Society,Rock,unknown
ARTY,EDM,unknown
ASIAN KUNG-FU GENERATION,Pop,unknown
ATB,EDM,unknown
ATEEZ,Pop,unknown
ATL,Pop,unknown
8-Aug,Pop,unknown
AURORA,Pop,unknown
AViVA,Pop,unknown
AWAY,Rap,unknown
AWOLNATION,Indie,unknown
Aaliyah,EDM,female
Aaron Carter,EDM,male
Aaron Copland,Classical,male
Aaron Kamm and the One Drops,Indie,male
Aaron Krause,Indie,male
Aaron Kwok,Pop,male
Aaron Lewis,Country,male
Aaron May,Hip-hop,male
Aaron Shust,Rock,male
Aaron Tippin,Country,male
Aaron Watson,Country,male
Aazar,EDM,unknown
Ab-Soul,Hip-hop,unknown
Abandon All Ships,Metal,unknown
Abbey Lincoln,Jazz,female
Abby Anderson,Country,female
Abdel Halim Hafez,Pop,male
Abdul,EDM,male
Abel Zavala,Rap,male
Abhi The Nomad,Hip-hop,female
Abir,Pop,female
Above & Beyond,EDM,unknown
Above The Law,Rap,female
Abraham Vazquez,Pop,male
Absofacto,Indie,unknown
Abstract,Hip-hop,unknown
Academy of Ancient Music,Classical,unknown
Academy of St. Martin in the Fields,Classical,male
Accept,Metal,unknown
Acceptance,Pop,unknown
Ace,Hip-hop,unknown
Ace Frehley,Metal,unknown
Ace Hood,Hip-hop,unknown
Ace of Base,EDM,unknown
Acerina Y Su Danzonera,Rock,androgynous
Aceyalone,Hip-hop,unknown
Achille Togliani,Pop,male
Acid Bath,Metal,unknown
Acid Ghost,Indie,unknown
Acid King,Metal,male
Acker Bilk,Jazz,unknown
Acoustic Alchemy,Jazz,unknown
Action Bronson,Hip-hop,male
Active Child,Indie,unknown
Adalberto Santiago,Jazz,male
Adam & The Ants,EDM,male
Adam Ant,EDM,male
Adam Calhoun,Country,male
Adam Carroll,Country,male
Adam Doleac,Country,male
Adam Friedman,Pop,male
Adam Hicks,Pop,male
Adam Hood,Country,male
Adam Jensen,Indie,male
Adam K & Soha,EDM,male
Adam Lambert,EDM,male
Adam Levine,Pop,male
Adam Melchor,Indie,male
Adele,Pop,female
Adelitas Way,Metal,androgynous
Adem,Metal,male
Adema,Metal,unknown
Adina Howard,Pop,female
Adje,Hip-hop,female
Admiral Bailey,EDM,female
Adrian Gurvitz,Rock,male
Adrian Marcel,Pop,male
Adriana Calcanhotto,Pop,female
Adriana Proenza,Indie,female
Adrianne Pieczonka,Classical,female
Adriano Celentano,Pop,male
Adriel Favela,Pop,unknown
Adrienne Albert,Classical,female
Adrián Patiño,Classical,male
Adventure Club,EDM,unknown
Aegis,Rock,unknown
Aer,Rock,unknown
Aero Chord,EDM,unknown
Aerodrom,Rock,unknown
Aerosmith,Rock,unknown
