name,filtered_genre,gender,race,api,black,hispanic,white
"""Weird Al"" Yankovic",Pop,unknown,white,0.006659077,0.001508575,0.014137373,0.9776949
$NOT,Hip-hop,unknown,white,0.057211556,0.02584626,0.00949602,0.90744615
$uicideBoy$,Hip-hop,unknown,white,0.002377309,0.11294163,0.019381734,0.86529934
'Til Tuesday,EDM,unknown,white,0.007064291,0.10491594,0.007420403,0.8805994
((( O ))),Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395
(G)I-DLE,Pop,unknown,white,0.0339335,0.082677655,0.043558497,0.8398304
(Hed) P.E.,Metal,unknown,white,0.007001061,0.031449642,0.02072086,0.94082844
*NSYNC,EDM,unknown,white,0.025099272,0.028439017,0.022024667,0.92443705
-,Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395
...And You Will Know Us by the Trail of Dead,EDM,androgynous,white,0.00390987,0.18221623,0.009205487,0.8046684
03 Greedo,Hip-hop,unknown,white,0.02392903,0.048368473,0.07958654,0.8481159
070 Shake,Indie,unknown,white,0.0670815,0.045445684,0.007394259,0.88007855
10 Ft. Ganja Plant,Rock,unknown,white,0.005311832,0.13229175,0.022936154,0.83946025
10 Years,Metal,unknown,white,0.004497574,0.17605178,0.021202631,0.798248
"10,000 Maniacs",EDM,unknown,white,0.002557939,0.029835679,0.008742321,0.9588641
100 gecs,Pop,unknown,white,0.008042659,0.001755534,0.007844578,0.98235726
10cc,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
5-Nov,Rap,unknown,white,0.3323836,0.010425771,0.015432762,0.64175785
112,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
11:11,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
12 Stones,Metal,unknown,white,0.003843668,0.085467406,0.018006288,0.8926826
1788-L,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
1910 Fruitgum Company,Pop,unknown,white,0.006594736,0.0711914,0.016860781,0.9053531
1986 Omega Tribe,Pop,unknown,white,0.06876063,0.02770315,0.029911943,0.8736242
1way Frank,Rap,male,white,0.002834,0.039037112,0.010608312,0.94752055
2 Brothers On The 4th Floor,EDM,androgynous,white,0.008168237,0.1413768,0.023124162,0.82733077
