source,target,release_date,populairty
Robert Schumann,Vladimir Horowitz,1928,0
Frédéric Chopin,Vladimir Horowitz,1928,1
Felix Mendelssohn,Vladimir Horowitz,1928,0
Franz Liszt,Vladimir Horowitz,1928,0
Francisco Canaro,Charlo,1928,0
Sergei Rachmaninoff,Vladimir Horowitz,1928,0
Samuel Barber,Vladimir Horowitz,1928,0
Ludwig van Beethoven,Staatskapelle Berlin,1928,0
Ludwig van Beethoven,Richard Strauss,1928,0
Staatskapelle Berlin,Richard Strauss,1928,0
George Butterworth,John Cameron,1928,0
Alexander Scriabin,Vladimir Horowitz,1928,0
Francisco Canaro,Luis Scalon,1928,0
Thomas Arne,John Heddle Nash,1928,0
Moritz Moszkowski,Vladimir Horowitz,1928,0
Roger Quilter,John Heddle Nash,1928,0
Muzio Clementi,Vladimir Horowitz,1928,0
Dmitry Kabalevsky,Vladimir Horowitz,1928,0
S. Loukopoulos,Klarino G. Anestopoulos,1930,0
S. Loukopoulos,Klarino KOstas Giaouzos,1930,0
S. Loukopoulos,Klarinos Nikos Karakostas,1930,0
Klarino G. Anestopoulos,Klarino KOstas Giaouzos,1930,0
Klarino G. Anestopoulos,Klarinos Nikos Karakostas,1930,0
Klarino KOstas Giaouzos,Klarinos Nikos Karakostas,1930,0
Petros Epitropakis,Antonis Kalampousis,1930,0
Francisco Canaro,Luis Diaz,1930,0
Francisco Canaro,Roberto Maida,1930,0
Francisco Canaro,Angel Ramos,1930,0
Charlo,Angel Ramos,1930,0
Banda del Regimiento Pérez 3 de Infantería,Adrián Patiño,1930,0
Petros Epitropakis,Elvira Nte Ntalgko,1930,0
Gene Sedric,Al Casey,1930,2
Sy Oliver,Attila the Hun,1930,1
Sy Oliver,Jimmie Lunceford & His Orchestra,1930,1
Attila the Hun,Jimmie Lunceford & His Orchestra,1930,1
Giorgos Papasideris,Klarino Har. Margels,1930,0
Francisco Canaro,Ernesto Fama,1930,0
Shorty Bralik,ParkPlace Swagg,1930,0
Manuel Ponce,Andrés Segovia,1930,2
Giorgos Mpekas,Polixeni LItou,1930,0
Francisco Canaro,Luis Díaz,1930,0
Renos Talmas,Panos Visvardis,1930,0
Dimitris Gkogkos,Manolis Xiotis,1930,0
Oρχήστρα Β.Reibold,Τέτος Δημητριάδης,1930,0
Danai Stratigopoulou,Panos Visvardis,1930,0
Giota Lidia,Prodromos Tsaousakis,1930,0
Federico Moreno Torroba,Vicente Gomez,1930,0
Federico Moreno Torroba,Guillermo Gomez,1930,0
Vicente Gomez,Guillermo Gomez,1930,0
Sinclair Lewis,Frank Arnold,1935,0
Franz Joseph Haydn,Pro Arte Quartet,1935,0
Margarita Cueto,Jorge Añez,1935,0
Ruggero Leoncavallo,Karl Böhm,1935,0
Ruggero Leoncavallo,Staatskapelle Dresden,1935,0
Karl Böhm,Staatskapelle Dresden,1935,0
Johannes Brahms,Karl Böhm,1935,0
Johannes Brahms,Staatskapelle Dresden,1935,0
Samuel Barber,Marilyn Horne,1935,0
Anton Bruckner,Karl Böhm,1935,0
Anton Bruckner,Staatskapelle Dresden,1935,0
Kakkia Mendri,Lidia Likiardopoulou,1935,0
Kakkia Mendri,2014 ATHINAIKI DISCOGRAFIKI,1935,0
Lidia Likiardopoulou,2014 ATHINAIKI DISCOGRAFIKI,1935,0
Samuel Barber,Leontyne Price,1935,0
Samuel Barber,Thomas Schippers,1935,0
Samuel Barber,New Philharmonia Orchestra,1935,0
Leontyne Price,Thomas Schippers,1935,0
Leontyne Price,New Philharmonia Orchestra,1935,0
Thomas Schippers,New Philharmonia Orchestra,1935,0
