name,filtered_genre,gender,race,api,black,hispanic,white
$NOT,Hip-hop,unknown,white,0.057211556,0.02584626,0.00949602,0.90744615
$uicideBoy$,Hip-hop,unknown,white,0.002377309,0.11294163,0.019381734,0.86529934
((( O ))),Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395
(G)I-DLE,Pop,unknown,white,0.0339335,0.082677655,0.043558497,0.8398304
*NSYNC,EDM,unknown,white,0.025099272,0.028439017,0.022024667,0.92443705
-,Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395
03 Greedo,Hip-hop,unknown,white,0.02392903,0.048368473,0.07958654,0.8481159
100 gecs,Pop,unknown,white,0.008042659,0.001755534,0.007844578,0.98235726
112,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
1788-L,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
2 Chainz,Hip-hop,unknown,white,0.00439918,0.037333127,0.03167432,0.92659336
2 Pistols,Hip-hop,unknown,white,0.003659112,0.22478837,0.03857586,0.7329766
21 Savage,Hip-hop,unknown,white,0.004523364,0.1639488,0.01724812,0.81427974
24hrs,Hip-hop,unknown,white,0.003890726,0.005559275,0.007630126,0.9829199
24kGoldn,Pop,unknown,white,0.001509269,0.1420396,0.010613022,0.8458381
27CLUB,Rap,unknown,white,0.001186896,0.004683108,0.05991735,0.9342126
2CELLOS,Pop,unknown,hispanic,0.03631616,0.006462497,0.8678213,0.089399986
2Pac,Hip-hop,male,black,0.52658445,0.064962685,0.09218536,0.31626746
2nd II None,Rap,unknown,white,0.047517568,0.039351437,0.11262992,0.8005011
3 Doors Down,Pop,unknown,white,0.002809791,0.20965691,0.017117947,0.7704153
3BallMTY,Indie,unknown,white,0.005427947,0.08636596,0.023499819,0.88470626
3LAU,EDM,unknown,api,0.9694314,0.001478502,0.00371336,0.025376713
3LW,Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395
3OH!3,EDM,unknown,white,0.016554633,0.07015439,0.028450496,0.8848405
3T,Metal,unknown,api,0.562272,0.073607,0.07148705,0.29263395
42 Dugg,Hip-hop,unknown,white,0.001849151,0.1044822,0.007683028,0.88598555
420 Unlovable,Rap,unknown,white,0.005469347,0.013721183,0.013149919,0.9676596
4B,EDM,unknown,api,0.562272,0.07360698,0.07148705,0.29263392
5 Seconds of Summer,EDM,androgynous,white,0.008554345,0.021305544,0.012617226,0.95752287
50 Cent,Hip-hop,unknown,white,0.005492357,0.14141928,0.01935929,0.8337291
5th Ward Boyz,Rap,male,white,0.002936924,0.048734426,0.016201418,0.93212724
6LACK,Hip-hop,unknown,white,0.028110117,0.31749606,0.008761617,0.6456322
6ix9ine,Rap,unknown,white,0.043775033,0.041829545,0.021509122,0.89288634
702,Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395
88-Keys,Hip-hop,unknown,white,0.004965366,0.32929984,0.018334614,0.6474002
88rising,Hip-hop,unknown,white,0.005931289,0.07543252,0.02009359,0.89854264
8Ball,Hip-hop,unknown,white,0.00633614,0.092260376,0.014414622,0.8869888
8Ball & MJG,Hip-hop,unknown,white,0.012279121,0.10580932,0.029636161,0.8522754
93FEETOFSMOKE,Hip-hop,unknown,white,0.001148899,0.007341437,0.008150336,0.98335934
98º,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
9lokknine,Rap,unknown,white,0.005208599,0.05736619,0.017865585,0.9195596
9tails,Rap,unknown,white,0.001972248,0.24198084,0.022975529,0.7330713
9th Wonder,Hip-hop,unknown,white,0.004797063,0.08070248,0.021696359,0.8928041
?uestlove,Rap,unknown,white,0.007572992,0.060216263,0.03628169,0.89592904
A Boogie Wit da Hoodie,Pop,male,white,0.00425517,0.12251647,0.023181912,0.85004646
A Day To Remember,Pop,androgynous,white,0.00419353,0.018170403,0.013701049,0.963935
A Great Big World,Indie,unknown,white,0.00319248,0.17420828,0.015573659,0.80702555
A R I Z O N A,EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395
A Touch Of Class,EDM,unknown,white,0.004183346,0.0837899,0.025101384,0.8869254
A Tribe Called Quest,Hip-hop,unknown,white,0.07560223,0.014084295,0.19213514,0.71817833
A$AP ANT,Hip-hop,unknown,white,0.007631921,0.3175225,0.027732972,0.6471126
A$AP Ferg,Hip-hop,unknown,white,0.002414606,0.031914916,0.011799861,0.9538706
A$AP Mob,Hip-hop,unknown,white,0.022814687,0.051154554,0.023189878,0.9028409
A$AP NAST,Hip-hop,unknown,white,0.008218939,0.013138751,0.009724044,0.9689183
A$AP Rocky,Hip-hop,male,white,0.00050661,0.013242618,0.008311166,0.97793967
A$AP Twelvyy,Hip-hop,unknown,white,0.010858407,0.019889215,0.017156271,0.95209605
A. M. Rajah,Pop,male,white,0.35384643,0.22597542,0.047724865,0.37245324
A.R. Rahman,Pop,male,api,0.89902365,0.014110295,0.015116829,0.07174926
ACOT,Rap,unknown,white,0.035165545,0.19447766,0.017223125,0.7531337
AJ Mitchell,Pop,male,white,0.003013908,0.15922147,0.017628245,0.8201364
AJ Tracey,Hip-hop,female,white,0.004140086,0.1003999,0.020725593,0.87473446
AJR,Pop,unknown,white,0.004998941,0.025648808,0.073274426,0.8960779
AL-X The Great,Rap,female,white,0.006572973,0.19358522,0.013777155,0.7860647
ALLBLACK,Rap,unknown,white,0.008290718,0.11453347,0.021038013,0.8561378
ARTY,EDM,unknown,white,0.03657833,0.16549994,0.19351958,0.6044022
ATL,Pop,unknown,white,0.008399008,0.032270987,0.024888083,0.93444186
AWAY,Rap,unknown,white,0.005187912,0.097337805,0.010695743,0.8867785
Aaliyah,EDM,female,white,0.005971201,0.1581789,0.012410871,0.823439
Aaron Copland,Classical,male,white,0.003046508,0.0676074,0.013925247,0.91542083
Aaron Krause,Indie,male,white,0.006754546,0.002646678,0.02592752,0.9646713
Aaron Lewis,Country,male,white,0.002414326,0.2909863,0.015097543,0.6915019
Aazar,EDM,unknown,white,0.023741899,0.065090686,0.030425271,0.88074213
Ab-Soul,Hip-hop,unknown,white,0.01013798,0.06843916,0.012003849,0.909419
Abbey Lincoln,Jazz,female,white,0.005574485,0.05025262,0.029346429,0.91482645
Abel Zavala,Rap,male,hispanic,0.028884852,0.004301706,0.86102754,0.10578595
Abir,Pop,female,white,0.28195524,0.16728741,0.13725643,0.41350088
Abraham Vazquez,Pop,male,hispanic,0.004826587,0.005404905,0.9421842,0.04758424
Abstract,Hip-hop,unknown,white,0.008023987,0.032513916,0.028226076,0.9312361
Academy of Ancient Music,Classical,unknown,white,0.005989285,0.008531467,0.011079787,0.97439945
Academy of St. Martin in the Fields,Classical,male,white,0.002199355,0.23010989,0.015536792,0.752154
Ace Hood,Hip-hop,unknown,white,0.01606627,0.1676664,0.022727372,0.79354
Aceyalone,Hip-hop,unknown,white,0.014048887,0.0723627,0.040466618,0.87312174
Achille Togliani,Pop,male,white,0.008128696,0.006249711,0.039279398,0.9463422
Action Bronson,Hip-hop,male,white,0.002976903,0.15372051,0.015578587,0.8277239
Adalberto Santiago,Jazz,male,hispanic,0.05276738,0.000705011,0.9100735,0.03645413
Adam Calhoun,Country,male,white,0.002825896,0.27345046,0.036746155,0.6869775
Adam Friedman,Pop,male,white,0.003706669,0.008653423,0.018653078,0.9689868
Adam Hicks,Pop,male,white,0.0031858,0.20873752,0.020807829,0.76726884
Adam Levine,Pop,male,white,0.007174845,0.087424174,0.030926194,0.8744748
Adele,Pop,female,white,0.023994762,0.045621794,0.07362679,0.8567566
Adem,Metal,male,white,0.04706421,0.0438326,0.08186748,0.82723564
Adina Howard,Pop,female,white,0.006098019,0.24142358,0.021010809,0.7314676
Adje,Hip-hop,female,white,0.021124532,0.1293244,0.19119713,0.658354
Admiral Bailey,EDM,female,white,0.22808182,0.03270808,0.14698312,0.592227
Adrian Marcel,Pop,male,white,0.016390042,0.05571646,0.3603887,0.56750476
Adrianne Pieczonka,Classical,female,white,0.003420111,0.000779235,0.006875433,0.9889253
Adriel Favela,Pop,unknown,hispanic,0.052837357,0.006961864,0.7013705,0.23883037
Adrienne Albert,Classical,female,white,0.002434679,0.007753622,0.012594413,0.97721726
Adventure Club,EDM,unknown,white,0.004600543,0.009371262,0.019949889,0.96607834
Aerosmith,Rock,unknown,white,0.003321667,0.1282885,0.019220559,0.8491693
Aesop Rock,Hip-hop,male,white,0.002445213,0.038767964,0.009605468,0.9491814
Afro Bros,Hip-hop,male,white,0.007427474,0.00770079,0.08398649,0.9008852
Afrojack,EDM,unknown,white,0.007036399,0.06602848,0.008220498,0.91871464
Against The Current,Pop,female,white,0.101341076,0.05155054,0.11495764,0.7321508
Agnes Baltsa,Classical,female,white,0.102170795,0.011240207,0.07393756,0.8126515
Agnes Giebel,Classical,female,white,0.00426208,0.00504513,0.014006378,0.97668636
Agnetha Fältskog,Pop,female,white,0.001272761,0.009949028,0.008319584,0.9804586
Agust D,Rap,unknown,white,0.07089317,0.07273198,0.073726036,0.7826488
Ahmet Kaya,Rock,male,white,0.2287866,0.018519213,0.09218235,0.66051185
Ahrix,EDM,unknown,white,0.001567073,0.053536754,0.009767477,0.93512875
Aiko,Pop,female,white,0.025898807,0.013867625,0.0134603,0.94677323
Aim,Pop,unknown,api,0.9324799,0.003587489,0.012128773,0.05180383
Aimee Mann,Indie,female,white,0.007924641,0.1051415,0.01865036,0.86828357
Aitch,Hip-hop,unknown,white,0.0064024,0.040927302,0.013823533,0.93884677
Akademie für Alte Musik Berlin,Classical,unknown,white,0.00353083,0.019909665,0.013595724,0.9629638
Akin,Country,unknown,white,0.007452128,0.052892935,0.013428318,0.9262267
Akon,EDM,unknown,white,0.047126096,0.02326308,0.028455706,0.9011551
Al Alberts,Indie,male,white,0.004489563,0.124429435,0.019270089,0.8518109
Al Cohn,Jazz,male,white,0.002052959,0.08216193,0.012099216,0.90368587
Al Di Meola,Jazz,male,white,0.013716508,0.007044534,0.06086132,0.9183776
Al Jarreau,Jazz,male,white,0.003535634,0.024141314,0.004022023,0.96830106
Al Kooper,Country,male,white,0.006579856,0.028470132,0.017053058,0.9478969
Alabama,Country,unknown,hispanic,0.08085637,0.007018474,0.7856219,0.12650327
Alain Planes,Classical,male,hispanic,0.11328062,0.001834898,0.6931732,0.19171123
Alan Gilbert,Classical,male,white,0.008118954,0.017682297,0.08474743,0.88945127
Alan Jackson,Country,male,white,0.006057845,0.006990091,0.04741377,0.93953836
Alan Parsons,Oldies,male,white,0.005682019,0.032737512,0.025471264,0.9361091
Alban Berg,Classical,male,white,0.007623726,0.014215409,0.027957372,0.9502035
Alban Berg Quartett,Classical,male,white,0.25104022,0.024490368,0.018696014,0.7057734
Albert Hammond,EDM,male,white,0.002345198,0.28973186,0.01062143,0.69730157
Albert King,Rock,male,white,0.005530101,0.124059096,0.017633785,0.852777
Albert Lortzing,Classical,male,white,0.004236403,0.01675559,0.012597417,0.9664106
Alda Noni,Classical,female,white,0.008974537,0.003674056,0.29018652,0.6971649
Aldo Ciccolini,Classical,male,white,0.001477413,0.0017951,0.022926325,0.9738012
Aldo Donà,Pop,male,white,0.00295545,0.2637043,0.026887244,0.706453
Aldo Protti,Classical,male,white,0.00267129,0.003753504,0.021507716,0.9720675
Alec Benjamin,Pop,male,white,0.13433762,0.06847347,0.0754184,0.7217705
Alegre All Stars,Jazz,unknown,white,0.003168199,0.10994575,0.020494685,0.86639136
Alejandra Guzman,Pop,female,hispanic,0.053243715,0.003018193,0.8953832,0.048354886
Alejandro Fernández,Pop,male,hispanic,0.049337745,0.023573125,0.6245783,0.30251086
Alejandro Sanz,Pop,male,hispanic,0.008750768,0.003975345,0.8955264,0.091747425
Aleks Syntek,Pop,male,white,0.001655003,0.013504474,0.017346729,0.96749383
Alessandro Corbelli,Classical,male,white,0.001505904,0.001744544,0.009010201,0.9877394
Alessia Cara,EDM,female,white,0.023318049,0.021747723,0.18849197,0.7664423
Alessio Bax,Classical,male,white,0.011960144,0.15292373,0.02268495,0.8124312
Alesso,EDM,unknown,white,0.024258425,0.029510412,0.037030857,0.9092004
Alex Newell,EDM,male,white,0.004026673,0.21741018,0.019064974,0.75949824
Alex Rose,Rap,male,white,0.010337631,0.19376713,0.019087845,0.7768074
Alex Turner,Indie,male,white,0.003596129,0.08249841,0.012519941,0.9013855
Alex Ubago,Pop,male,hispanic,0.07500847,0.002052909,0.8850482,0.037890494
Alexander 23,Indie,male,white,0.01173145,0.20017187,0.025692904,0.7624037
Alexander Borodin,Classical,male,white,0.006239885,0.13444223,0.033078883,0.826239
Alexander Gretchaninov,Classical,male,white,0.002082726,0.010674257,0.012006678,0.9752363
Alexander King,Country,male,white,0.006166613,0.21402614,0.016480869,0.76332635
Alexander Kipnis,Classical,male,white,0.002828726,0.00995088,0.009152382,0.97806805
Alexander Malter,Classical,male,white,0.002677856,0.08774416,0.012985332,0.8965927
Alexander Scriabin,Classical,male,white,0.00203549,0.1392623,0.009579808,0.84912235
Alexandre Tansman,Classical,male,white,0.003778383,0.028811716,0.01602001,0.95138985
Alexandre Tharaud,Classical,male,white,0.1327652,0.100677915,0.03348421,0.7330727
Alexei Lubimov,Classical,male,white,0.00979893,0.018946014,0.010150713,0.96110433
Alexis Weissenberg,Classical,male,white,0.002639763,0.000570536,0.009321763,0.9874679
Alexis y Fido,Hip-hop,male,white,0.030727293,0.051303677,0.047805063,0.870164
Alfonso X El Sabio,Classical,male,hispanic,0.22265893,0.015977096,0.4919617,0.2694023
Alfred Brendel,Classical,male,white,0.006679927,0.02595066,0.037752874,0.9296166
Alfred Deller,Classical,male,white,0.005486254,0.008360498,0.018221052,0.9679322
Alfred Prinz,Classical,male,white,0.002778766,0.044453178,0.018063042,0.93470496
Alfredo Olivas,Pop,male,hispanic,0.02905939,0.009958016,0.6415068,0.31947586
Ali,Pop,male,api,0.37950528,0.20048542,0.08281441,0.3371949
Ali & Gipp,Hip-hop,male,white,0.004514164,0.05654067,0.025483549,0.9134617
Ali Farka Touré,Pop,male,white,0.07148156,0.02948008,0.028266512,0.8707718
Alice Coltrane,Jazz,female,white,0.046965994,0.04761927,0.053474646,0.85194016
Alice Gerrard,Oldies,female,white,0.010058414,0.04752845,0.025259772,0.9171533
Alicia Keys,Pop,female,white,0.004935297,0.08030972,0.016071344,0.89868367
Alicia de Larrocha,Classical,female,white,0.14058742,0.003897735,0.34946352,0.5060513
Alida,Pop,female,white,0.21482627,0.011842079,0.35153034,0.42180127
Alina Baraz,Pop,female,hispanic,0.01393811,0.001543263,0.94747883,0.03703984
Alka Yagnik,Pop,female,white,0.002927417,0.002300061,0.008294227,0.9864783
Alkilados,Pop,unknown,hispanic,0.026276544,0.008127582,0.85999244,0.105603404
All Time Low,Pop,unknown,white,0.003843071,0.06045817,0.01070255,0.92499614
Alla Pugacheva,Pop,female,hispanic,0.061503217,0.000739952,0.8485783,0.089178555
Allday,Hip-hop,unknown,white,0.012066983,0.073853806,0.022813324,0.89126587
Ally Brooke,EDM,female,white,0.001968157,0.049785294,0.011440653,0.9368059
Almighty,Rap,unknown,white,0.004603654,0.13800018,0.050769676,0.8066265
Alok,Pop,male,hispanic,0.07187178,0.06801501,0.43956226,0.420551
AlunaGeorge,Indie,unknown,white,0.011380199,0.12724616,0.037428517,0.8239451
Alvaro Torres,Pop,male,hispanic,0.01817588,0.001123434,0.92994255,0.050758094
Alvin Alcorn,Jazz,male,white,0.03619247,0.12746169,0.15653348,0.6798124
Alyson Stoner,Pop,female,white,0.005574087,0.07593379,0.022387238,0.8961049
Amadeus Quartet,Classical,male,white,0.40784484,0.027499095,0.1513576,0.41329846
Amaia Montero,Pop,female,hispanic,0.015402594,0.002732315,0.70853215,0.273333
Amanda Seyfried,Pop,female,white,0.011250057,0.004491622,0.03269523,0.95156306
Amanda Shires,Country,female,white,0.080622375,0.006386938,0.027784845,0.88520586
Amber Coffman,Pop,female,white,0.002222854,0.008762442,0.010260039,0.9787547
Ambrosia,Country,female,white,0.03905078,0.013205137,0.4091471,0.538597
Amedeo Minghi,Pop,male,white,0.44991884,0.046326235,0.023454806,0.48030013
Amerie,EDM,unknown,white,0.01426265,0.19179186,0.02812883,0.7658167
Amil,Pop,male,white,0.041284144,0.060107384,0.040133182,0.85847527
Amilcare Ponchielli,Classical,male,white,0.015644563,0.002087471,0.057647984,0.92462
Aminé,Hip-hop,unknown,white,0.011825192,0.13925588,0.033044837,0.81587404
Amos Lee,Indie,male,white,0.12228585,0.15483136,0.040363144,0.6825196
Amsterdam Baroque Orchestra,Classical,unknown,api,0.96720725,0.003962353,0.016025353,0.012805046
Amy Grant,Rock,female,white,0.004785149,0.24238528,0.016439404,0.7363902
Amy Millan,Indie,female,hispanic,0.03765866,0.016684202,0.53500164,0.4106555
Ana Belén,Pop,female,white,0.022347763,0.05057938,0.074881226,0.8521916
Ana Bárbara,Pop,female,white,0.015852176,0.011339694,0.13376789,0.8390403
Ana Gabriel,Pop,female,white,0.13933283,0.070916735,0.11933087,0.6704196
Ana Tijoux,Indie,female,white,0.000576415,0.01135394,0.019973598,0.968096
Ana Torroja,Pop,female,hispanic,0.050311595,0.001303128,0.92327386,0.025111333
Anaïs Mitchell,Indie,female,white,0.002910362,0.32916576,0.019280376,0.6486435
Anders Miolin,Classical,male,white,0.008760504,0.11390808,0.022263529,0.8550679
Andre Legacy,Rap,male,white,0.003411797,0.04534369,0.008503507,0.94274104
Andre Nickatina,Rap,male,white,0.01309049,0.009738006,0.017093142,0.96007836
Andre Watts,Classical,male,white,0.005306733,0.099573515,0.020692863,0.8744269
Andre de Ridder,Classical,male,white,0.008007792,0.09498283,0.018261641,0.87874776
Andrea Bocelli,Pop,female,white,0.002248978,0.001934027,0.015440992,0.980376
Andreas Moss,Pop,male,white,0.005902295,0.077192456,0.033208393,0.88369685
Andreas Scholl,Classical,male,white,0.00528155,0.004801842,0.017435435,0.9724812
Andrew Bird,Indie,male,white,0.00312857,0.08352764,0.015936254,0.8974075
Andrew Hill,Jazz,male,white,0.004379957,0.12843871,0.028124467,0.8390568
Andrew Litton,Classical,male,white,0.002233211,0.32938913,0.016787125,0.6515905
Andrew Manze,Classical,male,white,0.00278547,0.017218104,0.025899982,0.9540965
András Schiff,Classical,male,white,0.002490979,0.009177777,0.012035295,0.97629595
André 3000,Hip-hop,male,white,0.017662633,0.09494912,0.035301268,0.85208696
André Laplante,Classical,male,white,0.004304606,0.011021392,0.019987777,0.9646863
Andrés Calamaro,Pop,male,white,0.009716108,0.00641469,0.12413619,0.85973305
Andrés Segovia,Classical,male,hispanic,0.02328485,0.004542072,0.8680316,0.104141444
Andy Gibb,Pop,male,white,0.005407684,0.16363162,0.016968658,0.813992
Andy Grammer,EDM,male,white,0.010746531,0.09174857,0.017271176,0.8802337
Andy Mineo,Hip-hop,male,white,0.104877055,0.019238172,0.18638046,0.6895043
Ane Brun,Pop,female,white,0.001087613,0.24691573,0.012773776,0.7392229
Angel Lopez,Hip-hop,male,hispanic,0.012527775,0.00429302,0.8926657,0.090513535
Angel Romero,Classical,male,hispanic,0.0501835,0.003362351,0.5731259,0.37332818
Angel Y Khriz,Hip-hop,male,api,0.7495165,0.02995255,0.02304874,0.19748217
Angela Carrasco,Pop,female,hispanic,0.08133228,0.002193587,0.7037237,0.21275035
Angela Chang,Pop,female,api,0.856879,0.004956833,0.013983743,0.124180414
Angela Gheorghiu,Pop,female,white,0.05576532,0.03797134,0.016127262,0.8901361
Angie Martinez,Pop,female,hispanic,0.00806063,0.006043405,0.926012,0.059884094
Angus & Julia Stone,Indie,male,white,0.004282491,0.03861549,0.016654598,0.94044745
Ani DiFranco,Indie,female,white,0.015594337,0.016404117,0.032179296,0.9358223
Anita Baker,Jazz,female,white,0.12641576,0.06101074,0.029423518,0.78314996
Anita Mui,Pop,female,api,0.9481308,0.000909959,0.0294482,0.02151097
Anitta,Pop,female,white,0.088574104,0.003947011,0.005585587,0.9018933
Anja Lechner,Classical,female,white,0.00221314,0.011844703,0.01518587,0.9707563
Anjulie,Pop,unknown,white,0.001048294,0.24899916,0.010119459,0.7398331
Ann Marie,EDM,female,white,0.005636121,0.1362272,0.024746839,0.8333898
Anna Clendening,Pop,female,white,0.001623133,0.08081583,0.012645274,0.90491575
Anna Margaret,Pop,female,white,0.003207268,0.010082022,0.028127205,0.9585835
Anna Moffo,Classical,female,white,0.004556828,0.018274654,0.017983502,0.959185
Anna Tomowa-Sintow,Classical,female,white,0.003074858,0.20480634,0.010238847,0.7818799
Anna Wise,Indie,female,white,0.008218209,0.15304543,0.014630639,0.8241057
Anna of the North,Indie,female,white,0.003326072,0.077583484,0.017087989,0.9020024
Anne Murray,Country,female,white,0.021223834,0.13885605,0.039314024,0.8006061
Anne Queffélec,Classical,female,white,0.003657588,0.010257065,0.009801585,0.9762838
Anne Sofie von Otter,Pop,female,white,0.003661748,0.015554994,0.01582717,0.96495605
Anne-Marie,EDM,female,white,0.002708094,0.11111783,0.020008435,0.86616564
Anne-Sophie Mutter,Classical,unknown,white,0.005095237,0.09019953,0.01998543,0.8847198
Anneliese Rothenberger,Classical,female,white,0.005238118,0.004215999,0.013799484,0.97674644
Annie Lennox,Pop,female,white,0.002104249,0.10116314,0.014191385,0.8825412
Annie Ross,Jazz,female,white,0.001559757,0.07868964,0.012013662,0.90773696
Annika Wells,Pop,female,white,0.003513319,0.04902199,0.010210621,0.93725413
Anoushirvan Rohani,Pop,unknown,api,0.46761042,0.010034936,0.062715076,0.4596396
Ant Banks,Rap,male,white,0.003109989,0.26943102,0.010538406,0.71692055
Ant Beale,Rap,male,white,0.002910364,0.1692752,0.012482696,0.8153317
Ant Clemons,Indie,male,white,0.001516736,0.4145983,0.013338259,0.5705467
Ant Saunders,Pop,male,white,0.003534671,0.08755555,0.024289513,0.88462025
Anthony Halstead,Classical,male,white,0.00888356,0.33266884,0.007824,0.65062356
Anthony Newman,Classical,male,white,0.007078722,0.043072954,0.013053206,0.9367951
Anthony Santos,Pop,male,hispanic,0.08401972,0.008205603,0.48243523,0.4253395
Anthrax,Metal,unknown,white,0.01227869,0.21881868,0.018561117,0.75034153
Anton Bruckner,Classical,male,white,0.006779925,0.049955525,0.018170552,0.925094
Anton Dermota,Classical,male,white,0.041777015,0.004593941,0.24885947,0.70476955
Anton Rubinstein,Classical,male,white,0.010326281,0.012046183,0.02063419,0.9569933
Anton Webern,Classical,male,white,0.004252075,0.008500492,0.012416172,0.9748312
Antonietta Stella,Classical,female,white,0.007163366,0.003197008,0.027098631,0.962541
Antonio Flores,Pop,male,hispanic,0.02984301,0.002478087,0.88522536,0.08245357
Antonio Francisco Braga,Classical,male,api,0.8707266,0.005464341,0.028435031,0.09537401
Antonio Pappano,Classical,male,white,0.012780467,0.006187684,0.08380013,0.89723176
Antonio Vega,Pop,male,hispanic,0.06020339,0.011159553,0.8147435,0.113893494
Antonio Vivaldi,Classical,male,white,0.035053913,0.005844665,0.3996243,0.5594771
Antonín Dvořák,Classical,male,white,0.08480021,0.025435833,0.021607645,0.8681563
Antônio Carlos Jobim,Jazz,male,white,0.12154981,0.08418091,0.05915669,0.7351126
Anuel,Rap,unknown,white,0.02723664,0.07429985,0.11643356,0.7820299
Anuel AA,Rap,unknown,white,0.005355625,0.098276906,0.012597042,0.8837704
Anuradha,Pop,female,api,0.57765543,0.017884497,0.018441282,0.3860188
Anuradha Paudwal,Pop,female,api,0.9627585,0.002189522,0.001457505,0.03359452
Apashe,Rap,unknown,white,0.014139618,0.073316775,0.026090616,0.88645303
Apathy,Hip-hop,unknown,white,0.03177573,0.116240084,0.012860737,0.8391234
Apocalyptica,Pop,unknown,white,0.032303914,0.008158182,0.08419673,0.8753412
Aqualung,Indie,unknown,white,0.20237361,0.01595036,0.06231139,0.71936464
Aram Khachaturian,Classical,male,api,0.5906375,0.0864402,0.007866361,0.31505594
Arcadi Volodos,Classical,unknown,white,0.002344457,0.002984974,0.019052848,0.9756177
Arcangel,Hip-hop,unknown,hispanic,0.0609626,0.005541497,0.648133,0.285363
Arcangelo Corelli,Classical,male,white,0.002408836,0.000597756,0.013324169,0.9836692
Archie,Pop,male,black,0.002495857,0.56353366,0.008114269,0.42585614
Archie Eversole,Hip-hop,male,white,0.005261186,0.03806493,0.009194184,0.94747967
Archie Shepp,Jazz,male,white,0.007051254,0.04129936,0.01712587,0.93452346
Ardyn,Pop,unknown,white,0.002101902,0.077797,0.018445665,0.90165544
Aretha Franklin,Jazz,female,white,0.005835775,0.07791708,0.022951478,0.89329565
Ari Lennox,Indie,male,white,0.001102569,0.035025448,0.031688325,0.9321837
Ariana Grande,EDM,female,white,0.044792436,0.00364117,0.23449357,0.7170728
Ariel Ramírez,Classical,male,hispanic,0.12663157,0.002416499,0.792197,0.078754924
Arijit Singh,Pop,unknown,api,0.6766003,0.011991075,0.023186103,0.28822264
